crl+AF8-uri,crl+AF8-size,num+AF8-of+AF8-revoked,used+AF8-by,amortized+AF8-cost
http://crl.godaddy.com/gds1+AC0-2.crl,19221,492,16,1202
http://crl.comodoca.com/UTN+AC0-USERFirst+AC0-ClientAuthenticationandEmail.crl,17958,490,1,17958
http://cdp1.pca.dfn.de/dlr+AC0-ca/pub/crl/g+AF8-cacrl.crl,11953,489,1,11953
https://www.ncodesolutions.com/repository/ncode1116.crl,19953,481,3,6651
http://crl3.digicert.com/ca3+AC0-g10.crl,24010,480,105,229
http://pki.multicert.com/crl/crl+AF8-mca001.crl,19538,470,3,6513
http://crl.godaddy.com/gds1+AC0-3.crl,18326,467,19,965
http://crl.pki.wellsfargo.com/ext.crl,18063,460,7,2581
http://crl3.digicert.com/ca3+AC0-g4.crl,22932,458,82,280
http://crl.godaddy.com/gds1+AC0-1.crl,17732,458,24,739
http://crl.starfieldtech.com/sfs2+AC0-17.crl,19100,455,74,259
http://crl.globalsign.net/sureserver.crl,13962,450,2,6981
http://crl3.digicert.com/ca3+AC0-g3.crl,22393,447,84,267
http://repo1.secomtrust.net/sppca/nii/odca2/fullcrl.crl,12475,442,8,1560
http://crl.ix.tcclass3.tcuniversal+AC0-i.trustcenter.de/crl/v2/tc+AF8-class3+AF8-L1+AF8-CA+AF8-IX.crl,17346,441,3,5782
http://www.stampit.org/crl/stampit+AF8-qualified.crl,18110,441,1,18110
http://crl3.digicert.com/ca3+AC0-g12.crl,21805,435,100,219
http://level101.ipsca.com/crl/ipscalevel1.crl,23436,432,22,1066
http://crl3.digicert.com/ca3+AC0-g7.crl,21217,423,87,244
http://crl.godaddy.com/gds1+AC0-4.crl,16680,420,24,695
http://crl3.digicert.com/ca3+AC0-g5.crl,20923,417,80,262
http://crl.certum.pl/l2.crl,24149,408,270,90
http://crl.comodoca.com/ComodoHighAssuranceSecureServerCA.crl,14666,398,180,82
http://repositorio.icpbrasil.gov.br/lcr/CAIXA/ACCAIXAPJ/accaixapjv2.crl,16520,385,1,16520
http://crl.gandi.net/GandiStandardSSLCA.crl,14064,383,482,30
http://crl.starfieldtech.com/sfs1+AC0-0.crl,15644,381,28,559
http://cdp1.pca.dfn.de/hu+AC0-berlin+AC0-ca/pub/crl/cacrl.crl,9416,370,1,9416
http://proxy.fineid.fi/crl/vrkspc.crl,23227,367,2,11614
http://crl3.digicert.com/ca3+AC0-2011e.crl,18081,359,80,227
http://www.csp.uzi+AC0-register.nl/cdp/uzi+AC0-register+AF8-server+AF8-ca+AF8-g21.crl,23566,359,1,23566
http://crl.comodoca.com/COMODOExtendedValidationSecureServerCA.crl,13195,357,1315,11
http://crl3.digicert.com/ca3+AC0-g8.crl,17983,357,99,182
http://crl.certinomis.com/AC+AF8-1+AF8-ETOILE/crl/crl+AC0-2.crl,14045,357,3,4682
http://crl.cs.auscert.org.au/AusCERTServerCA.crl,13073,355,24,545
http://ca.dialtelecom.cz/dial.curr.crl,7864,353,1,7864
http://www.thaipki.com/crl/crlcatca.crl,13416,353,1,13416
http://crl.securetrust.com/XGCA.crl,8278,330,1,8278
http://crl3.digicert.com/evca1+AC0-g2.crl,16516,327,425,39
http://pilotonsitecrl.ace.es/BancoBilbaoVizcayaArgentariaSAT003BBVAAutoridaddeCertificacionDigital/LatestCRL.crl,11723,325,1,11723
http://SVRSecure+AC0-T1+AC0-crl.verisign.com/SVRSecureT1.crl,11909,324,14,851
http://crls.yandex.ru/YandexExternalCA/YandexExternalCA.crl,9949,322,4,2488
http://crl.serverpass.telesec.de/rl/TeleSec+AF8-ServerPass+AF8-CA+AF8-1.crl,13663,321,117,117
http://cdp1.pca.dfn.de/charite+AC0-ca/pub/crl/g+AF8-cacrl.crl,8050,321,1,8050
http://crl.certum.pl/l4.crl,18776,319,134,141
http://crl3.digicert.com/ca3+AC0-2010i.crl,15729,311,60,263
http://crl3.digicert.com/ca3+AC0-2010e.crl,15141,299,71,214
http://crl.starfieldtech.com/sfig2s1+AC0-0.crl,12016,282,21,573
http://crl3.digicert.com/ca3+AC0-g21.crl,13915,274,100,140
http://gca.nat.gov.tw/repository/GCA4/CRL/CRL+AF8-0001.crl,13953,271,9,1551
http://cdp1.pca.dfn.de/wwu+AC0-ca/pub/crl/g+AF8-cacrl.crl,6831,271,1,6831
http://crl3.digicert.com/ca3+AC0-2011d.crl,12985,255,68,191
http://crl3.digicert.com/ca3+AC0-g6.crl,12887,253,56,231
http://crl.dnbnor.no/class+AC0-g.crl,13775,251,2,6888
http://cdp1.pca.dfn.de/kit+AC0-ca/pub/crl/cacrl.crl,6480,250,4,1620
http://crl.pki.belgium.be/government2011.crl,8456,250,2,4228
http://www.trustcenter.de/crl/v2/tc+AF8-class3+AF8-L1+AF8-CA+AF8-V.crl,10388,243,1,10388
http://cdp1.pca.dfn.de/rhrk+AC0-ca/pub/crl/g+AF8-cacrl.crl,6141,240,1,6141
http://sslserver.twca.com.tw/sslserver/revoke11.crl,7087,238,50,142
http://crl3.digicert.com/ca3+AC0-2011c.crl,12005,235,34,354
http://SVR1024SecureG2+AC0-crl.verisign.com/SVR1024SecureG2.crl,8534,231,96,89
http://cdp1.pca.dfn.de/fu+AC0-ca/pub/crl/cacrl.crl,5929,230,1,5929
http://crl.certum.pl/l3.crl,13906,227,18,773
http://crl.camerfirma.com/cmfecs.crl,5425,226,7,775
http://crl3.digicert.com/ca3+AC0-2011b.crl,11417,223,45,254
http://crl3.digicert.com/ca3+AC0-2010f.crl,11270,220,30,376
http://sureseries+AC0-crl.cybertrust.ne.jp/SureServer/2018+AF8-ctj/cdp.crl,13769,218,4,3443
http://crl.register.com/RegistercomSSLServicesCAOV.crl,8033,213,54,149
http://crl.swisssign.net/D3446FD9FE7AFCDEAC1C7AA2210D64FA65B0D782,7598,213,14,543
http://crl.aetna.com/aetnaca.crl,6952,210,7,994
http://lcr.caixa.gov.br/accaixajusv2.crl,9286,208,9,1032
http://crl.disney.com/CRLs/DisneyIssuingCAc21.crl,8373,208,1,8373
http://crl.vodafone+AC0-pki.com/crl.v/VodafoneSecureSites.crl,6270,193,2,3135
http://crl.sbca.telesec.de/rl/Shared+AF8-Business+AF8-CA+AF8-3.crl,8309,193,1,8309
http://crl.starfieldtech.com/sfs2+AC0-0.crl,8400,192,13,647
http://crl.pki.belgium.be/government2010.crl,6226,191,6,1038
http://crl3.digicert.com/evca1+AC0-g1.crl,9607,186,114,85
http://crl3.digicert.com/ca3+AC0-g22.crl,9554,185,110,87
http://www.sk.ee/crls/klass3/klass3+AC0-2010.crl,12062,185,7,1724
http://crl3.digicert.com/ssca+AC0-g1.crl,9475,184,30,316
http://crl3.digicert.com/ca3+AC0-2010g.crl,9261,179,33,281
http://crl.ovh.net/OVHHighAssuranceSecureCA.crl,6704,175,10,671
http://crl.globalsign.net/ExtendVal1.crl,5600,170,10,560
http://crl3.digicert.com/ca3+AC0-2011a.crl,8575,165,37,232
http://crl.pki.wellsfargo.com/wsca00.crl,7517,164,2,3759
http://www.certificadodigital.com.br/repositorioglobal/lcr/SerasaACGlobal2008.crl,4920,164,1,4920
http://cdp1.pca.dfn.de/uni+AC0-paderborn+AC0-ca/pub/crl/cacrl.crl,4329,162,1,4329
http://crl.nestle.com/Nestle+ACU-20External+ACU-20CA(1).crl,6559,157,49,134
http://crl.swisssign.net/9776DE0A34E5109A40C4EBD89D5A537B21CC473E,5475,155,7,783
http://SVRSecure+AC0-oracle+AC0-crl.verisign.com/OracleCorporationUnified/SVR+AC0-Oracle.crl,7982,155,5,1597
http://pki.bayer.info/grouppki/externalserverca.crl,8838,154,4,2210
http://pam+AC0-ee.marseille+AC0-port.fr/PAM+AF8-PC1.crl,3632,152,1,3632
http://trustcenter+AC0-crl.certificat2.com/keynectis/class2keynectisca.crl,6535,150,17,385
http://cdp1.pca.dfn.de/tu+AC0-chemnitz+AC0-ca/pub/crl/cacrl.crl,4011,149,1,4011
http://crl.godaddy.com/gds3+AC0-54.crl,6580,147,46,144
http://crl.firmasicura.it/GlobalCA/CRL,4411,147,5,883
http://crl.godaddy.com/gds3+AC0-55.crl,6504,145,39,167
http://crl.e+AC0-trust.be/NCA+AF8-WSOS.crl,4890,141,9,544
http://crl.godaddy.com/gds3+AC0-53.crl,6259,139,35,179
http://crl.godaddy.com/gds3+AC0-43.crl,6263,139,18,348
http://crl.godaddy.com/gds3+AC0-61.crl,6223,138,32,195
http://cdp1.pca.dfn.de/gwdg+AC0-ca/pub/crl/cacrl.crl,3775,137,1,3775
http://svr+AC0-rapidssl+AC0-crl.rapidssl.com/RapidSSLEntCA.crl,5249,136,2,2625
http://crl.globessl.com/GlobeSSLDVCertificationAuthority.crl,5290,135,335,16
http://crl.starfieldtech.com/sfs3+AC0-25.crl,6148,135,38,162
http://crl.e+AC0-certchile.cl/e+AC0-certchileca.crl,5710,135,1,5710
http://cdp1.pca.dfn.de/tu+AC0-dresden+AC0-ca/pub/crl/g+AF8-cacrl.crl,3694,134,1,3694
http://crl.tbs+AC0-x509.com/TBSX509CAprohosting.crl,5309,133,8,664
http://crl3.digicert.com/ca3+AC0-2010h.crl,6958,132,45,155
